MESE,ANNO,REGIONE,COD ISTAT REGIONE,STATO ESTERO,CODICE ISO STATO,TIPO SOGGETTO,RETTIFICHE,CAMBI DI RESIDENZA,AUTOCERTIFICAZIONI,VISURE,CERTIFICATI,TOTALE
10,2022,PUGLIA,16,,,Residenti,133,592,291,408,2172,3596
10,2022,BASILICATA,17,,,Residenti,8,91,44,41,236,420
10,2022,BASILICATA,17,SVIZZERA,CHE,AIRE,0,0,1,1,0,2
10,2022,CALABRIA,18,REGNO UNITO,GBR,AIRE,0,0,1,3,1,5
10,2022,SICILIA,19,PORTOGALLO,PRT,AIRE,0,0,1,1,1,3
10,2022,VENETO,05,ARGENTINA,ARG,AIRE,0,0,2,0,4,6
10,2022,ABRUZZO,13,REGNO UNITO,GBR,AIRE,1,0,1,0,1,3
10,2022,LOMBARDIA,03,BRASILE,BRA,AIRE,0,0,1,4,0,5
10,2022,PIEMONTE,01,BELGIO,BEL,AIRE,0,0,1,0,0,1
10,2022,SARDEGNA,20,REGNO UNITO,GBR,AIRE,0,4,1,0,3,8
10,2022,EMILIA ROMAGNA,08,AUSTRIA,AUT,AIRE,0,1,0,2,0,3
10,2022,SICILIA,19,MALTA,MLT,AIRE,1,1,0,2,1,5
10,2022,TOSCANA,09,GERMANIA,DEU,AIRE,3,0,0,3,0,6
10,2022,CAMPANIA,15,SVIZZERA,CHE,AIRE,1,1,0,1,0,3
10,2022,FRIULI VENEZIA GIULIA,06,GUADALUPA,GLP,AIRE,0,0,0,2,1,3
10,2022,LAZIO,12,AUSTRIA,AUT,AIRE,0,0,0,0,6,6
10,2022,EMILIA ROMAGNA,08,FRANCIA,FRA,AIRE,0,1,0,0,7,8
10,2022,PIEMONTE,01,REGNO UNITO,GBR,AIRE,0,2,0,0,2,4
10,2022,VENETO,05,FEDERAZIONE RUSSA,RUS,AIRE,0,1,0,0,1,2
10,2022,SICILIA,19,REGNO UNITO,GBR,AIRE,0,9,0,0,4,13
10,2022,LIGURIA,07,REGNO UNITO,GBR,AIRE,0,2,0,0,1,3
10,2022,LAZIO,12,ARABIA SAUDITA,SAU,AIRE,0,0,0,0,3,3
10,2022,PIEMONTE,01,MAROCCO,MAR,AIRE,0,4,0,0,0,4
10,2022,LOMBARDIA,03,SVEZIA,SWE,AIRE,0,1,0,0,0,1
10,2022,PUGLIA,16,FRANCIA,FRA,AIRE,0,1,0,0,0,1
10,2022,LOMBARDIA,03,GRECIA,GRC,AIRE,0,2,0,0,0,2
10,2022,PIEMONTE,01,,,Residenti,141,765,350,508,2585,4349
10,2022,VENETO,05,,,Residenti,101,1037,530,629,3445,5742
10,2022,MARCHE,11,,,Residenti,47,217,110,163,817,1354
10,2022,VALLE D'AOSTA,02,,,Residenti,3,17,11,7,111,149
10,2022,EMILIA ROMAGNA,08,REGNO UNITO,GBR,AIRE,0,4,5,10,13,32
10,2022,TOSCANA,09,FRANCIA,FRA,AIRE,0,2,1,0,4,7
10,2022,TOSCANA,09,PAESI BASSI,NLD,AIRE,0,0,1,0,2,3
10,2022,VENETO,05,REGNO UNITO,GBR,AIRE,1,1,1,0,0,3
10,2022,LOMBARDIA,03,EMIRATI ARABI UNITI,ARE,AIRE,0,0,1,0,0,1
10,2022,VENETO,05,MOLDOVA,MDA,AIRE,0,0,1,0,0,1
10,2022,ABRUZZO,13,PORTOGALLO,PRT,AIRE,0,0,0,4,1,5
10,2022,PUGLIA,16,GERMANIA,DEU,AIRE,0,3,0,2,0,5
10,2022,LIGURIA,07,PERU',PER,AIRE,0,0,0,1,0,1
10,2022,SICILIA,19,SPAGNA,ESP,AIRE,0,0,0,1,2,3
10,2022,SARDEGNA,20,SPAGNA,ESP,AIRE,0,0,0,0,4,4
10,2022,BASILICATA,17,SPAGNA,ESP,AIRE,0,0,0,0,3,3
10,2022,CAMPANIA,15,TUNISIA,TUN,AIRE,0,0,0,0,1,1
10,2022,LAZIO,12,PANAMA,PAN,AIRE,0,0,0,0,3,3
10,2022,TOSCANA,09,BRASILE,BRA,AIRE,0,1,0,0,0,1
10,2022,EMILIA ROMAGNA,08,UCRAINA,UKR,AIRE,0,1,0,0,0,1
10,2022,LAZIO,12,,,Residenti,264,971,483,810,3625,6153
10,2022,SARDEGNA,20,,,Residenti,61,346,130,254,1064,1855
10,2022,TOSCANA,09,,,Residenti,127,792,375,417,2108,3819
10,2022,CALABRIA,18,,,Residenti,72,258,164,225,1070,1789
10,2022,VENETO,05,IRLANDA,IRL,AIRE,1,0,2,2,0,5
10,2022,PIEMONTE,01,SPAGNA,ESP,AIRE,1,0,1,1,4,7
10,2022,PIEMONTE,01,STATI UNITI D'AMERICA,USA,AIRE,0,0,1,0,0,1
10,2022,EMILIA ROMAGNA,08,TURCHIA,TUR,AIRE,0,0,3,0,1,4
10,2022,EMILIA ROMAGNA,08,STATI UNITI D'AMERICA,USA,AIRE,0,1,2,0,1,4
10,2022,ABRUZZO,13,UCRAINA,UKR,AIRE,0,0,3,0,2,5
10,2022,LOMBARDIA,03,REGNO UNITO,GBR,AIRE,0,2,2,7,4,15
10,2022,LOMBARDIA,03,SVIZZERA,CHE,AIRE,0,3,2,2,3,10
10,2022,ABRUZZO,13,SPAGNA,ESP,AIRE,0,0,1,0,0,1
10,2022,LOMBARDIA,03,MALDIVE,MDV,AIRE,0,0,4,0,0,4
10,2022,SICILIA,19,REPUBBLICA CECA,CZE,AIRE,2,5,0,5,0,12
10,2022,PIEMONTE,01,REPUBBLICA DOMINICANA,DOM,AIRE,0,0,0,2,0,2
10,2022,LAZIO,12,STATI UNITI D'AMERICA,USA,AIRE,1,1,0,1,3,6
10,2022,BASILICATA,17,CANADA,CAN,AIRE,0,0,0,2,2,4
10,2022,PUGLIA,16,ARGENTINA,ARG,AIRE,0,0,0,1,0,1
10,2022,PUGLIA,16,REGNO UNITO,GBR,AIRE,0,3,0,1,1,5
10,2022,SARDEGNA,20,SVIZZERA,CHE,AIRE,1,0,0,1,0,2
10,2022,SICILIA,19,SVIZZERA,CHE,AIRE,0,0,0,1,0,1
10,2022,LOMBARDIA,03,AUSTRALIA,AUS,AIRE,1,0,0,0,1,2
10,2022,MARCHE,11,FRANCIA,FRA,AIRE,0,0,0,0,3,3
10,2022,LIGURIA,07,GERMANIA,DEU,AIRE,0,0,0,0,1,1
10,2022,ABRUZZO,13,PAESI BASSI,NLD,AIRE,0,0,0,0,1,1
10,2022,TOSCANA,09,SINGAPORE,SGP,AIRE,0,1,0,0,1,2
10,2022,EMILIA ROMAGNA,08,SVIZZERA,CHE,AIRE,0,0,0,0,1,1
10,2022,SICILIA,19,SVEZIA,SWE,AIRE,0,1,0,0,0,1
10,2022,CALABRIA,18,NORVEGIA,NOR,AIRE,0,2,0,0,0,2
10,2022,SICILIA,19,STATI UNITI D'AMERICA,USA,AIRE,0,2,0,0,0,2
10,2022,UMBRIA,10,REGNO UNITO,GBR,AIRE,1,1,0,0,0,2
10,2022,LOMBARDIA,03,NORVEGIA,NOR,AIRE,0,1,0,0,0,1
10,2022,FRIULI VENEZIA GIULIA,06,SVEZIA,SWE,AIRE,1,0,0,0,0,1
10,2022,PUGLIA,16,IRLANDA,IRL,AIRE,1,0,0,0,0,1
10,2022,EMILIA ROMAGNA,08,COSTA RICA,CRI,AIRE,2,0,0,0,0,2
10,2022,FRIULI VENEZIA GIULIA,06,,,Residenti,20,166,117,158,727,1188
10,2022,VENETO,05,SVIZZERA,CHE,AIRE,0,0,2,2,2,6
10,2022,LAZIO,12,EMIRATI ARABI UNITI,ARE,AIRE,0,0,2,0,4,6
10,2022,LAZIO,12,REGNO UNITO,GBR,AIRE,4,5,2,1,14,26
10,2022,MARCHE,11,ARGENTINA,ARG,AIRE,0,0,1,0,0,1
10,2022,CAMPANIA,15,MESSICO,MEX,AIRE,0,0,2,0,0,2
10,2022,EMILIA ROMAGNA,08,BELGIO,BEL,AIRE,1,0,2,1,4,8
10,2022,CAMPANIA,15,FRANCIA,FRA,AIRE,0,0,1,0,5,6
10,2022,LAZIO,12,TUNISIA,TUN,AIRE,0,0,1,0,1,2
10,2022,CALABRIA,18,SPAGNA,ESP,AIRE,0,0,2,0,0,2
10,2022,PUGLIA,16,BRASILE,BRA,AIRE,0,0,0,1,0,1
10,2022,TRENTINO ALTO ADIGE,04,SVIZZERA,CHE,AIRE,1,0,0,2,0,3
10,2022,TOSCANA,09,SVIZZERA,CHE,AIRE,0,0,0,1,3,4
10,2022,SICILIA,19,FRANCIA,FRA,AIRE,0,4,0,2,3,9
10,2022,TOSCANA,09,REGNO UNITO,GBR,AIRE,0,1,0,0,8,9
10,2022,LOMBARDIA,03,CUBA,CUB,AIRE,0,0,0,0,1,1
10,2022,LIGURIA,07,SUD AFRICA,ZAF,AIRE,0,0,0,0,3,3
10,2022,LOMBARDIA,03,TURCHIA,TUR,AIRE,0,0,0,0,1,1
10,2022,FRIULI VENEZIA GIULIA,06,POLONIA,POL,AIRE,0,1,0,0,0,1
10,2022,LAZIO,12,REPUBBLICA CECA,CZE,AIRE,0,1,0,0,0,1
10,2022,SICILIA,19,BELGIO,BEL,AIRE,0,1,0,0,0,1
10,2022,SICILIA,19,LUSSEMBURGO,LUX,AIRE,0,1,0,0,0,1
10,2022,SICILIA,19,COLOMBIA,COL,AIRE,0,1,0,0,0,1
10,2022,LAZIO,12,BELGIO,BEL,AIRE,0,1,0,0,0,1
10,2022,SICILIA,19,FEDERAZIONE RUSSA,RUS,AIRE,0,1,0,0,0,1
10,2022,PIEMONTE,01,GERMANIA,DEU,AIRE,0,1,0,0,0,1
10,2022,LOMBARDIA,03,,,Residenti,309,2085,1130,1289,7370,12183
10,2022,EMILIA ROMAGNA,08,,,Residenti,123,970,549,677,3410,5729
10,2022,LIGURIA,07,,,Residenti,31,254,112,166,877,1440
10,2022,UMBRIA,10,,,Residenti,39,290,91,112,655,1187
10,2022,LAZIO,12,ALBANIA,ALB,AIRE,0,1,1,2,0,4
10,2022,MARCHE,11,REGNO UNITO,GBR,AIRE,0,1,4,0,0,5
10,2022,VENETO,05,SVEZIA,SWE,AIRE,0,0,1,0,0,1
10,2022,UMBRIA,10,SPAGNA,ESP,AIRE,0,0,1,0,0,1
10,2022,CAMPANIA,15,REGNO UNITO,GBR,AIRE,0,3,0,4,1,8
10,2022,BASILICATA,17,BRASILE,BRA,AIRE,0,0,0,1,0,1
10,2022,PUGLIA,16,PORTOGALLO,PRT,AIRE,0,0,0,2,3,5
10,2022,LAZIO,12,FRANCIA,FRA,AIRE,0,3,0,2,1,6
10,2022,CAMPANIA,15,BRASILE,BRA,AIRE,0,0,0,1,0,1
10,2022,LOMBARDIA,03,UNGHERIA,HUN,AIRE,0,0,0,2,0,2
10,2022,TRENTINO ALTO ADIGE,04,REGNO UNITO,GBR,AIRE,0,0,0,1,1,2
10,2022,CALABRIA,18,IRLANDA,IRL,AIRE,0,0,0,1,0,1
10,2022,LAZIO,12,ARGENTINA,ARG,AIRE,0,0,0,0,2,2
10,2022,ABRUZZO,13,GERMANIA,DEU,AIRE,0,0,0,0,1,1
10,2022,VENETO,05,REPUBBLICA CECA,CZE,AIRE,0,0,0,0,3,3
10,2022,LAZIO,12,LUSSEMBURGO,LUX,AIRE,0,0,0,0,2,2
10,2022,LAZIO,12,POLONIA,POL,AIRE,0,0,0,0,1,1
10,2022,LOMBARDIA,03,RUANDA,RWA,AIRE,0,1,0,0,0,1
10,2022,SICILIA,19,,,Residenti,211,1568,389,629,2333,5130
10,2022,CAMPANIA,15,,,Residenti,178,949,469,749,3857,6202
10,2022,MOLISE,14,,,Residenti,5,61,39,30,164,299
10,2022,TRENTINO ALTO ADIGE,04,,,Residenti,12,89,94,114,397,706
10,2022,VENETO,05,QATAR,QAT,AIRE,0,0,0,0,1,1
10,2022,EMILIA ROMAGNA,08,BULGARIA,BGR,AIRE,0,0,1,1,0,2
10,2022,FRIULI VENEZIA GIULIA,06,REGNO UNITO,GBR,AIRE,0,0,1,3,1,5
10,2022,PIEMONTE,01,ARGENTINA,ARG,AIRE,0,0,2,11,1,14
10,2022,MARCHE,11,ROMANIA,ROU,AIRE,0,0,1,0,2,3
10,2022,LIGURIA,07,FRANCIA,FRA,AIRE,0,0,3,0,4,7
10,2022,CAMPANIA,15,GERMANIA,DEU,AIRE,0,1,1,0,4,6
10,2022,LOMBARDIA,03,LUSSEMBURGO,LUX,AIRE,1,0,1,0,0,2
10,2022,SARDEGNA,20,FRANCIA,FRA,AIRE,1,0,4,0,0,5
10,2022,LOMBARDIA,03,THAILANDIA,THA,AIRE,0,0,1,0,0,1
10,2022,CAMPANIA,15,VENEZUELA,VEN,AIRE,0,0,1,0,0,1
10,2022,LAZIO,12,BRASILE,BRA,AIRE,0,0,0,1,0,1
10,2022,VENETO,05,GERMANIA,DEU,AIRE,0,1,0,4,2,7
10,2022,VENETO,05,MALDIVE,MDV,AIRE,1,0,0,1,0,2
10,2022,LIGURIA,07,SPAGNA,ESP,AIRE,0,0,0,1,0,1
10,2022,SICILIA,19,GERMANIA,DEU,AIRE,1,7,0,4,0,12
10,2022,CAMPANIA,15,POLONIA,POL,AIRE,0,1,0,1,0,2
10,2022,LOMBARDIA,03,ISRAELE,ISR,AIRE,0,0,0,0,2,2
10,2022,EMILIA ROMAGNA,08,SPAGNA,ESP,AIRE,0,1,0,0,1,2
10,2022,MOLISE,14,FRANCIA,FRA,AIRE,0,0,0,0,1,1
10,2022,MARCHE,11,THAILANDIA,THA,AIRE,0,0,0,0,1,1
10,2022,VENETO,05,BULGARIA,BGR,AIRE,0,0,0,0,1,1
10,2022,PIEMONTE,01,PORTOGALLO,PRT,AIRE,0,1,0,0,1,2
10,2022,SICILIA,19,ARGENTINA,ARG,AIRE,0,1,0,0,0,1
10,2022,PUGLIA,16,MALTA,MLT,AIRE,0,1,0,0,0,1
10,2022,VENETO,05,BRASILE,BRA,AIRE,0,1,0,0,0,1
10,2022,LAZIO,12,MALAYSIA,MYS,AIRE,0,1,0,0,0,1
10,2022,EMILIA ROMAGNA,08,UNGHERIA,HUN,AIRE,1,0,0,0,0,1
10,2022,LOMBARDIA,03,SPAGNA,ESP,AIRE,1,1,2,3,5,12
10,2022,CALABRIA,18,TUNISIA,TUN,AIRE,0,0,1,0,1,2
10,2022,LOMBARDIA,03,REPUBBLICA CECA,CZE,AIRE,0,0,1,0,0,1
10,2022,PUGLIA,16,SVIZZERA,CHE,AIRE,0,1,2,0,0,3
10,2022,LOMBARDIA,03,FRANCIA,FRA,AIRE,5,0,1,9,7,22
10,2022,SICILIA,19,ETIOPIA,ETH,AIRE,0,0,1,0,0,1
10,2022,PIEMONTE,01,REPUBBLICA POPOLARE CINESE,CHN,AIRE,0,0,0,2,0,2
10,2022,PIEMONTE,01,COSTA D'AVORIO,CIV,AIRE,2,0,0,3,0,5
10,2022,LOMBARDIA,03,TUNISIA,TUN,AIRE,0,0,0,1,0,1
10,2022,LIGURIA,07,PORTOGALLO,PRT,AIRE,0,0,0,0,3,3
10,2022,CAMPANIA,15,PAESI BASSI,NLD,AIRE,0,0,0,0,1,1
10,2022,VENETO,05,SPAGNA,ESP,AIRE,1,0,0,0,1,2
10,2022,LOMBARDIA,03,IRLANDA,IRL,AIRE,0,0,0,0,2,2
10,2022,VENETO,05,FRANCIA,FRA,AIRE,0,0,0,0,2,2
10,2022,EMILIA ROMAGNA,08,PORTOGALLO,PRT,AIRE,0,1,0,0,0,1
10,2022,LIGURIA,07,DANIMARCA,DNK,AIRE,0,1,0,0,0,1
10,2022,TRENTINO ALTO ADIGE,04,TAIWAN,TWN,AIRE,0,1,0,0,0,1
10,2022,CAMPANIA,15,SPAGNA,ESP,AIRE,2,0,0,0,0,2
10,2022,ABRUZZO,13,,,Residenti,42,249,98,176,712,1277
10,2022,PIEMONTE,01,FRANCIA,FRA,AIRE,0,0,1,1,2,4
10,2022,LAZIO,12,PORTOGALLO,PRT,AIRE,1,0,1,9,0,11
10,2022,PUGLIA,16,TUNISIA,TUN,AIRE,0,0,1,0,0,1
10,2022,LAZIO,12,SPAGNA,ESP,AIRE,1,1,1,0,1,4
10,2022,LOMBARDIA,03,REPUBBLICA DOMINICANA,DOM,AIRE,1,0,3,0,0,4
10,2022,LAZIO,12,SVIZZERA,CHE,AIRE,0,0,4,0,3,7
10,2022,SARDEGNA,20,TUNISIA,TUN,AIRE,0,0,1,0,0,1
10,2022,PIEMONTE,01,SVIZZERA,CHE,AIRE,0,0,0,2,0,2
10,2022,ABRUZZO,13,FRANCIA,FRA,AIRE,2,0,0,1,0,3
10,2022,TOSCANA,09,AUSTRIA,AUT,AIRE,0,0,0,2,0,2
10,2022,LOMBARDIA,03,STATI UNITI D'AMERICA,USA,AIRE,4,3,0,2,4,13
10,2022,LAZIO,12,REPUBBLICA DOMINICANA,DOM,AIRE,0,0,0,0,1,1
10,2022,SICILIA,19,CANADA,CAN,AIRE,0,0,0,0,2,2
10,2022,EMILIA ROMAGNA,08,GERMANIA,DEU,AIRE,0,0,0,0,1,1
10,2022,SICILIA,19,PANAMA,PAN,AIRE,0,1,0,0,0,1
10,2022,ABRUZZO,13,IRLANDA,IRL,AIRE,0,1,0,0,0,1
10,2022,CALABRIA,18,BRASILE,BRA,AIRE,0,1,0,0,0,1
10,2022,SICILIA,19,LETTONIA,LVA,AIRE,0,1,0,0,0,1
10,2022,CALABRIA,18,GERMANIA,DEU,AIRE,0,1,0,0,0,1
10,2022,VENETO,05,BELGIO,BEL,AIRE,0,1,0,0,0,1
10,2022,LOMBARDIA,03,REPUBBLICA POPOLARE CINESE,CHN,AIRE,0,1,0,0,0,1
10,2022,SICILIA,19,TUNISIA,TUN,AIRE,2,0,0,0,0,2
10,2022,TOSCANA,09,STATI UNITI D'AMERICA,USA,AIRE,1,0,0,0,0,1
10,2022,PIEMONTE,01,BRASILE,BRA,AIRE,1,0,0,0,0,1
10,2022,UMBRIA,10,AUSTRALIA,AUS,AIRE,1,0,0,0,0,1